match_api_id,country_id,league_id,season,stage,match_date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,match_result
493058,1,1,2008/2009,28,2009-04-04,8203,8571,1,1,draw
493059,1,1,2008/2009,28,2009-04-04,9987,10001,1,4,away_win
493060,1,1,2008/2009,28,2009-04-05,9985,9993,3,1,home_win
493061,1,1,2008/2009,29,2009-04-12,8635,8342,1,0,home_win
493062,1,1,2008/2009,29,2009-04-10,9999,9987,1,0,home_win
493063,1,1,2008/2009,29,2009-04-11,9993,10000,1,2,away_win
493064,1,1,2008/2009,29,2009-04-11,9985,9994,1,0,home_win
493065,1,1,2008/2009,29,2009-04-11,8571,7947,1,2,away_win
493066,1,1,2008/2009,29,2009-04-11,9998,8203,0,1,away_win
493067,1,1,2008/2009,29,2009-04-11,9986,9996,1,0,home_win
493068,1,1,2008/2009,29,2009-04-11,9984,4049,4,1,home_win
493069,1,1,2008/2009,29,2009-04-12,9991,10001,2,0,home_win
492491,1,1,2008/2009,3,2008-08-30,8635,8571,4,0,home_win
492492,1,1,2008/2009,3,2008-08-30,9987,9994,1,0,home_win
492493,1,1,2008/2009,3,2008-08-30,9984,9998,2,1,home_win
492494,1,1,2008/2009,3,2008-08-31,9991,9986,2,0,home_win
492495,1,1,2008/2009,3,2008-08-30,7947,9996,1,2,away_win
492496,1,1,2008/2009,3,2008-08-30,8203,10000,0,2,away_win
492497,1,1,2008/2009,3,2008-08-31,9999,9985,1,1,draw
492498,1,1,2008/2009,3,2008-08-29,4049,8342,1,4,away_win
492499,1,1,2008/2009,3,2008-08-30,10001,9993,1,0,home_win
493070,1,1,2008/2009,30,2009-04-19,10001,8635,0,1,away_win
493071,1,1,2008/2009,30,2009-04-18,9996,9985,0,3,away_win
493072,1,1,2008/2009,30,2009-04-18,8342,9998,3,2,home_win
493073,1,1,2008/2009,30,2009-04-18,4049,9986,3,1,home_win
493074,1,1,2008/2009,30,2009-04-18,8203,9984,0,1,away_win
493075,1,1,2008/2009,30,2009-04-17,9987,9991,2,2,draw
493076,1,1,2008/2009,30,2009-04-19,7947,9999,3,1,home_win
493077,1,1,2008/2009,30,2009-04-18,10000,8571,5,1,home_win
493078,1,1,2008/2009,30,2009-04-18,9994,9993,1,0,home_win
493079,1,1,2008/2009,31,2009-04-24,9993,8342,2,0,home_win
493080,1,1,2008/2009,31,2009-04-26,9984,9987,1,2,away_win
493081,1,1,2008/2009,31,2009-04-25,9986,10000,1,0,home_win
493082,1,1,2008/2009,31,2009-04-26,9999,9991,1,3,away_win
493083,1,1,2008/2009,31,2009-04-25,8635,7947,4,0,home_win
493084,1,1,2008/2009,31,2009-04-25,9985,8203,4,1,home_win
493085,1,1,2008/2009,31,2009-04-25,9994,9996,3,0,home_win
493086,1,1,2008/2009,31,2009-04-25,8571,4049,2,2,draw
493087,1,1,2008/2009,31,2009-04-25,9998,10001,0,2,away_win
493088,1,1,2008/2009,32,2009-05-03,4049,8635,1,1,draw
493089,1,1,2008/2009,32,2009-05-02,10000,9985,0,0,draw
493090,1,1,2008/2009,32,2009-05-02,7947,9998,0,0,draw
493091,1,1,2008/2009,32,2009-05-02,8203,9986,2,1,home_win
493092,1,1,2008/2009,32,2009-05-02,9991,9984,2,1,home_win
493093,1,1,2008/2009,32,2009-05-01,8342,9994,2,3,away_win
493094,1,1,2008/2009,32,2009-05-02,10001,9999,1,0,home_win
493095,1,1,2008/2009,32,2009-05-03,9987,8571,0,1,away_win
493096,1,1,2008/2009,32,2009-05-02,9996,9993,3,1,home_win
493097,1,1,2008/2009,33,2009-05-09,9985,8342,2,0,home_win
